replicate	seed	selected_C	validation_average_precision	average_precision	brier	roc_auc	real_context_support_ap	real_minus_shuffled_ap
164	20262978	1.0	0.8178841690497537	0.811273071255165	0.1980212003334693	0.6574952346762439	0.9571531912808816	0.1458801200257166
165	20262979	0.1	0.8176733337991087	0.8110041644093026	0.1980214932495346	0.6575960508442968	0.9571531912808816	0.146149026871579
166	20262980	0.01	0.8179295268869134	0.810542036119577	0.1980220226809876	0.6574931405955802	0.9571531912808816	0.1466111551613046
167	20262981	0.01	0.8170953229204964	0.8108299690352527	0.1980219775166605	0.6575651625836006	0.9571531912808816	0.1463232222456288
168	20262982	0.01	0.8179075981628354	0.8104509466032754	0.1980219974800919	0.6573690189311103	0.9571531912808816	0.1467022446776061
169	20262983	0.01	0.817491572159082	0.8104276002197796	0.1980248842342155	0.6571108875222644	0.9571531912808816	0.146725591061102
170	20262984	10.0	0.8174887366518767	0.8105871088043661	0.1980303768652776	0.657346301467159	0.9571531912808816	0.1465660824765154
171	20262985	0.01	0.8172640062849822	0.8110349178203526	0.1980208576572001	0.657785545733589	0.9571531912808816	0.1461182734605289
172	20262986	0.01	0.8175358931474083	0.811131122391573	0.1980213492157894	0.6576759969979697	0.9571531912808816	0.1460220688893085
173	20262987	0.01	0.8179941799257338	0.8106974090545588	0.1980199514896057	0.6576665736349828	0.9571531912808816	0.1464557822263228
174	20262988	0.1	0.8179256101643861	0.8104434278166248	0.1980304850201414	0.6572957009880445	0.9571531912808816	0.1467097634642568
175	20262989	0.01	0.8171759813899337	0.8110502318311317	0.198022274250392	0.6575364551811749	0.9571531912808816	0.1461029594497499
176	20262990	0.01	0.8177906189416451	0.8108287022800332	0.1980235093937456	0.6573524592517936	0.9571531912808816	0.1463244890008483
177	20262991	0.01	0.8174461526098156	0.8111047847571378	0.1980218500300288	0.6577332827782222	0.9571531912808816	0.1460484065237438
178	20262992	0.1	0.8174378189384562	0.8105704654190677	0.1980264015153088	0.6572596186308708	0.9571531912808816	0.1465827258618138
179	20262993	1.0	0.8177325281199141	0.8106446678641648	0.1980237221151591	0.6572979377950348	0.9571531912808816	0.1465085234167168
180	20262994	0.01	0.8177689825080297	0.810405133012609	0.1980250930116911	0.6572010848516187	0.9571531912808816	0.1467480582682726
181	20262995	0.01	0.8169146820816937	0.8107146957281007	0.1980260194957661	0.6573725882310857	0.9571531912808816	0.1464384955527808
182	20262996	0.1	0.817192736182603	0.810291438000866	0.198028578993106	0.6574781086588632	0.9571531912808816	0.1468617532800156
